ID,AdmLevel,Year,Source,Country,Region_code,Region,PopRural,Prod,Country_Prod_Sum,Country_Prod_FAOSTAT14,Prod_FAO14adj,Prod_PerCapita,Prod_PerCapita_FAO14Adj
1,1,2012,Agro-MAPS,Angola,AGO001,Bengo,337634,430691.83,10636399.81,7638880,309315.4888,1.275617473,0.916126601
2,1,2012,Agro-MAPS,Angola,AGO002,Benguela,1393577,331019.2,10636399.81,7638880,237732.3147,0.237532049,0.170591445
3,1,2012,Agro-MAPS,Angola,AGO003,Bie,1199208,332571.65,10636399.81,7638880,238847.2576,0.277326077,0.199170834
4,1,2012,Agro-MAPS,Angola,AGO004,Cabinda,308578,899655.67,10636399.81,7638880,646117.2791,2.915488693,2.093853998
5,1,2012,Agro-MAPS,Angola,AGO005,Cuando Cubango,454469,196487.51,10636399.81,7638880,141113.9612,0.432345242,0.310502941
6,1,2012,Agro-MAPS,Angola,AGO006,Cuanza Norte,408037,853707.2,10636399.81,7638880,613117.8756,2.092229871,1.502603626
7,1,2012,Agro-MAPS,Angola,AGO007,Cuanza Sul,1692413,698511.41,10636399.81,7638880,501658.9198,0.412731059,0.296416371
8,1,2012,Agro-MAPS,Angola,AGO008,Cunene,921774,32448.1,10636399.81,7638880,23303.66915,0.035201796,0.025281326
9,1,2012,Agro-MAPS,Angola,AGO009,Huambo,1544358,51296.31,10636399.81,7638880,36840.13045,0.033215297,0.023854657
10,1,2012,Agro-MAPS,Angola,AGO010,Huila,1806684,168360.8,10636399.81,7638880,120913.8403,0.093187741,0.066925838
11,1,2012,Agro-MAPS,Angola,AGO011,Luanda,1500628,15547.5,10636399.81,7638880,11165.94796,0.010360662,0.00744085
12,1,2012,Agro-MAPS,Angola,AGO012,Lunda Norte,682982,736321.9,10636399.81,7638880,528813.7656,1.078098544,0.774271892
13,1,2012,Agro-MAPS,Angola,AGO013,Lunda Sul,431646,807585.06,10636399.81,7638880,579993.7454,1.870942995,1.343679185
14,1,2012,Agro-MAPS,Angola,AGO014,Malanje,968034,1520154.35,10636399.81,7638880,1091748.794,1.570352229,1.12780005
15,1,2012,Agro-MAPS,Angola,AGO015,Moxico,694572,936528.84,10636399.81,7638880,672598.9576,1.348353864,0.96836463
16,1,2012,Agro-MAPS,Angola,AGO016,Namibe,176678,46529.03,10636399.81,7638880,33416.35168,0.263354973,0.189137027
17,1,2012,Agro-MAPS,Angola,AGO017,Uige,1342344,2135133.96,10636399.81,7638880,1533416.607,1.590601187,1.142342504
18,1,2012,Agro-MAPS,Angola,AGO018,Zaire,316401,443849.49,10636399.81,7638880,318765.0947,1.40280685,1.007471831
19,2,2009,Agro-MAPS,Benin,BEN001001,Banikoara,232522,2639.64,3366853.73,4066711,3188.333645,0.011352216,0.013711966
20,2,2009,Agro-MAPS,Benin,BEN001002,Gogounou,119877,3283.55,3366853.73,4066711,3966.091186,0.027390992,0.033084672
21,2,2009,Agro-MAPS,Benin,BEN001003,Kandi,141138,2443.57,3366853.73,4066711,2951.507192,0.017313339,0.020912208
22,2,2009,Agro-MAPS,Benin,BEN001004,Karimama,66862,1409.83,3366853.73,4066711,1702.886917,0.021085669,0.025468681
23,2,2009,Agro-MAPS,Benin,BEN001005,Malanville,133047,309.57,3366853.73,4066711,373.9193399,0.002326772,0.00281043
24,2,2009,Agro-MAPS,Benin,BEN001006,Segbana,90456,3978.62,3366853.73,4066711,4805.643196,0.043984036,0.053126859
25,2,2009,Agro-MAPS,Benin,BEN002001,Boukoumbe,84641,228,3366853.73,4066711,275.3936412,0.00269373,0.003253667
26,2,2009,Agro-MAPS,Benin,BEN002002,Kerou,100081,6825,3366853.73,4066711,8243.691232,0.068194762,0.082370192
27,2,2009,Agro-MAPS,Benin,BEN002003,Cobli,70227,1526,3366853.73,4066711,1843.204809,0.021729534,0.026246384
28,2,2009,Agro-MAPS,Benin,BEN002004,Kouande,113996,52881,3366853.73,4066711,63873.20675,0.463884698,0.560310947
29,2,2009,Agro-MAPS,Benin,BEN002005,Materi,114245,423,3366853.73,4066711,510.9276764,0.003702569,0.00447221
30,2,2009,Agro-MAPS,Benin,BEN002006,Natingou,84800,23370,3366853.73,4066711,28227.84822,0.275589623,0.332875569
31,2,2009,Agro-MAPS,Benin,BEN002007,Pehonko,79556,15075,3366853.73,4066711,18208.59272,0.189489165,0.22887768
32,2,2009,Agro-MAPS,Benin,BEN002008,Tanguieta,68974,1413,3366853.73,4066711,1706.715855,0.02048598,0.024744336
33,2,2009,Agro-MAPS,Benin,BEN002009,Tchoukoutouna,40697,31520,3366853.73,4066711,38071.96303,0.774504263,0.935498023
34,2,2009,Agro-MAPS,Benin,BEN003001,Abomey-Calavi,441824,117840,3366853.73,4066711,142335.0293,0.266712537,0.322153231
35,2,2009,Agro-MAPS,Benin,BEN003002,Allada,113772,117604,3366853.73,4066711,142049.9727,1.033681398,1.248549491
36,2,2009,Agro-MAPS,Benin,BEN003003,Kpomasse,68920,127328,3366853.73,4066711,153795.2699,1.847475334,2.231504207
37,2,2009,Agro-MAPS,Benin,BEN003004,Ouidah,61235,23749,3366853.73,4066711,28685.62976,0.387833755,0.468451535
38,2,2009,Agro-MAPS,Benin,BEN003005,So-Ava,48152,4944,3366853.73,4066711,5971.693693,0.102674863,0.124017563
39,2,2009,Agro-MAPS,Benin,BEN003006,Toffo,102706,210756,3366853.73,4066711,254565.1853,2.052032014,2.478581439
40,2,2009,Agro-MAPS,Benin,BEN003007,Tori-Bossito,58462,50340,3366853.73,4066711,60804.01709,0.861072149,1.040060502
41,2,2009,Agro-MAPS,Benin,BEN003008,Ze,108855,129058,3366853.73,4066711,155884.8796,1.185595517,1.432041519
42,2,2009,Agro-MAPS,Benin,BEN004001,Bembereke,127685,12230.44,3366853.73,4066711,14772.743,0.095786036,0.115696777
43,2,2009,Agro-MAPS,Benin,BEN004002,Kalale,172224,1150.57,3366853.73,4066711,1389.735358,0.00668066,0.008069348
44,2,2009,Agro-MAPS,Benin,BEN004003,Ndali,116688,40708.62,3366853.73,4066711,49170.5925,0.348867236,0.421385168
45,2,2009,Agro-MAPS,Benin,BEN004004,Nikki,135756,21283.02,3366853.73,4066711,25707.05427,0.156774065,0.189362196
46,2,2009,Agro-MAPS,Benin,BEN004005,Parakou,130044,21893.65,3366853.73,4066711,26444.614,0.16835571,0.203351281
47,2,2009,Agro-MAPS,Benin,BEN004006,Perere,80562,4094.73,3366853.73,4066711,4945.888615,0.050827065,0.061392327
48,2,2009,Agro-MAPS,Benin,BEN004007,Sinende,89947,8348.92,3366853.73,4066711,10084.38368,0.092820439,0.112114731
49,2,2009,Agro-MAPS,Benin,BEN004999,NA,203846,NA,3366853.73,4066711,NA,NA,2.171432007
50,2,2009,Agro-MAPS,Benin,BEN005001,Bante,103995,54481.63,3366853.73,4066711,65806.55466,0.523887014,0.632785756
51,2,2009,Agro-MAPS,Benin,BEN005002,Dassa,108886,83350,3366853.73,4066711,100675.7017,0.765479492,0.924597301
52,2,2009,Agro-MAPS,Benin,BEN005003,Glazoue,120534,146896.88,3366853.73,4066711,177431.8713,1.218717374,1.472048313
53,2,2009,Agro-MAPS,Benin,BEN005004,Ouesse,121226,429704.39,3366853.73,4066711,519025.6868,3.544655354,4.281471688
54,2,2009,Agro-MAPS,Benin,BEN005005,Savalou,149395,91975.56,3366853.73,4066711,111094.2297,0.615653536,0.743627495
55,2,2009,Agro-MAPS,Benin,BEN005006,Save,73413,14971.53,3366853.73,4066711,18083.61474,0.203935679,0.246327146
56,2,2009,Agro-MAPS,Benin,BEN006001,Aplahoue,155718,46167,3366853.73,4066711,55763.58874,0.296478249,0.358106248
57,2,2009,Agro-MAPS,Benin,BEN006002,Djakotome,125688,71926.12,3366853.73,4066711,86877.1758,0.572259245,0.69121297
58,2,2009,Agro-MAPS,Benin,BEN006003,Dogbo-Tota,78390,11249.64,3366853.73,4066711,13588.0672,0.143508611,0.173339293
59,2,2009,Agro-MAPS,Benin,BEN006004,Klouekanme,130812,20132.3,3366853.73,4066711,24317.13773,0.153902547,0.185893784
60,2,2009,Agro-MAPS,Benin,BEN006005,Lalo,121188,24025.48,3366853.73,4066711,29019.58078,0.198249662,0.239459194
61,2,2009,Agro-MAPS,Benin,BEN006006,Toviklin,89185,129672.46,3366853.73,4066711,156627.0654,1.453971632,1.756204131
62,2,2009,Agro-MAPS,Benin,BEN007003,Copargo,72552,19980,3366853.73,4066711,24133.17961,0.275388687,0.332632865
63,2,2009,Agro-MAPS,Benin,BEN007004,Ouake,75010,18000,3366853.73,4066711,21741.60325,0.239968004,0.289849397
64,2,2009,Agro-MAPS,Benin,BEN007997,NA,126421,NA,3366853.73,4066711,NA,NA,0.364787702
65,2,2009,Agro-MAPS,Benin,BEN007998,NA,132957,NA,3366853.73,4066711,NA,NA,0.364787702
66,2,2009,Agro-MAPS,Benin,BEN007999,NA,39684,NA,3366853.73,4066711,NA,NA,0.364787702
67,2,2009,Agro-MAPS,Benin,BEN008000,Cotonou,27331,NA,3366853.73,4066711,NA,NA,NA
68,2,2009,Agro-MAPS,Benin,BEN009001,Athieme,133048,21739,3366853.73,4066711,26257.81739,0.163392159,0.197355972
69,2,2009,Agro-MAPS,Benin,BEN009002,Bopa,98308,48126,3366853.73,4066711,58129.79989,0.489543069,0.591302843
70,2,2009,Agro-MAPS,Benin,BEN009003,Come,63595,20350,3366853.73,4066711,24580.09034,0.31999371,0.386509794
71,2,2009,Agro-MAPS,Benin,BEN009004,Grand-Popo,54171,5144,3366853.73,4066711,6213.267062,0.094958557,0.114697293
72,2,2009,Agro-MAPS,Benin,BEN009005,Houeyogbe,93206,80382,3366853.73,4066711,97090.75292,0.862412291,1.041679215
73,2,2009,Agro-MAPS,Benin,BEN010001,Adjarra,67265,4232.47,3366853.73,4066711,5112.260195,0.062922322,0.076001787
74,2,2009,Agro-MAPS,Benin,BEN010002,Adjohoun,76283,40169.42,3366853.73,4066711,48519.31069,0.526584167,0.636043557
75,2,2009,Agro-MAPS,Benin,BEN010003,Aguegue,28977,1728.55,3366853.73,4066711,2087.858239,0.059652483,0.072052257
76,2,2009,Agro-MAPS,Benin,BEN010004,Akpro-Misserete,86736,16269.07,3366853.73,4066711,19650.87029,0.187569982,0.226559563
77,2,2009,Agro-MAPS,Benin,BEN010005,Avrankou,74381,5078.96,3366853.73,4066711,6134.707402,0.068283029,0.082476807
78,2,2009,Agro-MAPS,Benin,BEN010006,Bonou,45217,12327.99,3366853.73,4066711,14890.57041,0.2726406,0.329313542
79,2,2009,Agro-MAPS,Benin,BEN010007,Dangbo,83315,28102.2,3366853.73,4066711,33943.71571,0.337300606,0.40741422
80,2,2009,Agro-MAPS,Benin,BEN010008,Porto Novo,20088,853.41,3366853.73,4066711,1030.805646,0.042483572,0.051314499
81,2,2009,Agro-MAPS,Benin,BEN010009,Seme-Kpodji,157341,5483.93,3366853.73,4066711,6623.85724,0.034853789,0.042098736
82,2,2009,Agro-MAPS,Benin,BEN011001,Ikpinle (Adja-Oue,111986,146973.61,3366853.73,4066711,177524.5509,1.312428429,1.585238788
83,2,2009,Agro-MAPS,Benin,BEN011002,Ifangni,120124,35260.31,3366853.73,4066711,42589.75947,0.2935326,0.354548296
84,2,2009,Agro-MAPS,Benin,BEN011003,Ketou,151712,148661.66,3366853.73,4066711,179563.4906,0.979893878,1.183581329
