ID,AdmLevel,Year,Source,Country,Region_code,Region,PopRural,HA,CountryHA_Sum,Country_HA_FAOSTAT14,HA_FAO14adj,HA_PerCapita,HA_PerCapita_FAO14Adj
1,1,2012,Agro-MAPS,Angola,AGO001,Bengo,337634,38565.3,1062864.57,755874,27426.36117,0.114222205,0.081231041
2,1,2012,Agro-MAPS,Angola,AGO002,Benguela,1393577,59654.28,1062864.57,755874,42424.14369,0.042806591,0.030442626
3,1,2012,Agro-MAPS,Angola,AGO003,Bie,1199208,70435.31,1062864.57,755874,50091.25435,0.058734857,0.04177028
4,1,2012,Agro-MAPS,Angola,AGO004,Cabinda,308578,61747.02,1062864.57,755874,43912.43091,0.200101822,0.142305773
5,1,2012,Agro-MAPS,Angola,AGO005,Cuando Cubango,454469,17641.21,1062864.57,755874,12545.84295,0.038817191,0.027605498
6,1,2012,Agro-MAPS,Angola,AGO006,Cuanza Norte,408037,72309.5,1062864.57,755874,51424.11606,0.177213096,0.126028071
7,1,2012,Agro-MAPS,Angola,AGO007,Cuanza Sul,1692413,72882.46,1062864.57,755874,51831.58619,0.043064228,0.03062585
8,1,2012,Agro-MAPS,Angola,AGO008,Cunene,921774,3525.89,1062864.57,755874,2507.495925,0.003825113,0.002720294
9,1,2012,Agro-MAPS,Angola,AGO009,Huambo,1544358,10588.49,1062864.57,755874,7530.182599,0.006856241,0.004875931
10,1,2012,Agro-MAPS,Angola,AGO010,Huila,1806684,35754.39,1062864.57,755874,25427.33529,0.019790063,0.014074036
11,1,2012,Agro-MAPS,Angola,AGO011,Luanda,1500628,1812.03,1062864.57,755874,1288.655585,0.001207514,0.000858744
12,1,2012,Agro-MAPS,Angola,AGO012,Lunda Norte,682982,79870.25,1062864.57,755874,56801.07048,0.116943419,0.083166277
13,1,2012,Agro-MAPS,Angola,AGO013,Lunda Sul,431646,85113.23,1062864.57,755874,60529.70381,0.197182946,0.140229966
14,1,2012,Agro-MAPS,Angola,AGO014,Malanje,968034,142551.9,1062864.57,755874,101378.1792,0.147259187,0.104725846
15,1,2012,Agro-MAPS,Angola,AGO015,Moxico,694572,87805.77,1062864.57,755874,62444.54888,0.126417089,0.089903637
16,1,2012,Agro-MAPS,Angola,AGO016,Namibe,176678,4906.57,1062864.57,755874,3489.389709,0.027771256,0.019749996
17,1,2012,Agro-MAPS,Angola,AGO017,Uige,1342344,183085.8,1062864.57,755874,130204.5434,0.136392609,0.096997896
18,1,2012,Agro-MAPS,Angola,AGO018,Zaire,316401,34615.17,1062864.57,755874,24617.15984,0.109402846,0.077803673
19,2,2017,Resakss,Benin,Abomey,Abomey,49035,1303,264208.9336,296641,1462.945321,0.026572856,0.029834716
20,2,2017,Resakss,Benin,Abomey-Calavi,Abomey-Calavi,439226,6150,264208.9336,296641,6904.922273,0.014001903,0.015720659
21,2,2017,Resakss,Benin,Adja-Ouèrè,Adja-Ouèrè,115943,8322.349235,264208.9336,296641,9343.930828,0.071779661,0.080590728
22,2,2017,Resakss,Benin,Adjara,Adjara,75596,387.888958,264208.9336,296641,435.502944,0.005131078,0.005760926
23,2,2017,Resakss,Benin,Adjohoun,Adjohoun,76360,4383,264208.9336,296641,4921.020215,0.057399162,0.064445
24,2,2017,Resakss,Benin,Agbangnizoun,Agbangnizoun,80844,826.641067,264208.9336,296641,928.1125715,0.010225138,0.01148029
25,2,2017,Resakss,Benin,Aguégués,Aguégués,25067,2408,264208.9336,296641,2703.585826,0.096062552,0.107854383
26,2,2017,Resakss,Benin,Akpro-Missérété,Akpro-Missérété,53553,58,264208.9336,296641,65.11959216,0.001083039,0.001215984
27,2,2017,Resakss,Benin,Allada,Allada,112316,687,264208.9336,296641,771.3303417,0.006116671,0.006867502
28,2,2017,Resakss,Benin,Aplahoué,Aplahoué,150261,3370,264208.9336,296641,3783.672855,0.022427643,0.025180671
29,2,2017,Resakss,Benin,Athiémé,Athiémé,44555,2975,264208.9336,296641,3340.185977,0.066771406,0.074967702
30,2,2017,Resakss,Benin,Avrankou,Avrankou,64864,175,264208.9336,296641,196.4815281,0.002697953,0.003029131
31,2,2017,Resakss,Benin,Banikoara,Banikoara,230178,1750,264208.9336,296641,1964.815281,0.007602812,0.008536069
32,2,2017,Resakss,Benin,Bantè,Bantè,105516,120,264208.9336,296641,134.7301907,0.001137268,0.00127687
33,2,2017,Resakss,Benin,Bassila,Bassila,131419,4490,264208.9336,296641,5041.154635,0.034165532,0.038359405
34,2,2017,Resakss,Benin,Bembéréké,Bembéréké,127091,3075,264208.9336,296641,3452.461136,0.024195262,0.027165268
35,2,2017,Resakss,Benin,Bohicon,Bohicon,63867,1250,264208.9336,296641,1403.439486,0.019571923,0.021974408
